"activities","Activities","活動内容"
"stepfather_4","I miss my stepfather.","義父が恋しい。"
"stepfather_5","He is my stepfather.","彼は私の継父です。"
"stepmother","Stepmother","継母"
"stepmother_2","I love my stepmother.","継母が大好きです。"
"stepmother_3","She is my stepmother.","彼女は私の継母です。"
"stepmother_4","I miss my stepmother.","継母が恋しい。"
"stepmother_5","She is my stepmother.","彼女は私の継母です。"
"stepsister","Stepsister","義姉"
"stepsister_2","I love my stepsister.","義理の姉が大好きです。"
"stepsister_3","She is my stepsister.","彼女は私の義姉です。"
"stepsister_4","I miss my stepsister.","義姉が恋しいです。"
"stepsister_5","She is my stepsister.","彼女は私の義姉です。"
"stepbrother","Stepbrother","腹違いの兄弟"
"stepbrother_2","I love my stepbrother.","義兄弟が大好きです。"
"stepbrother_3","He is my stepbrother.","彼は私の義理の兄弟です。"
"stepbrother_4","I miss my stepbrother.","義兄弟が恋しい。"
"stepbrother_5","He is my stepbrother.","彼は私の義理の兄弟です。"
"half-brother","Half brother","異母兄弟"
"half-brother_2","I love my half brother.","異兄弟が大好きです。"
"half-brother_3","He is my half brother.","彼は私の異兄弟です。"
"half-brother_4","I miss my half brother.","兄が恋しいです。"
"half-brother_5","He is my half brother.","彼は私の異兄弟です。"
"half-sister","Half sister","ハーフシスター"
"half-sister_2","I love my half sister.","ハーフの妹が大好きです。"
"half-sister_3","She is my half sister.","彼女は私の姉妹です。"
"half-sister_4","I miss my half sister.","ハーフの姉が恋しいです。"
"half-sister_5","She is my half sister.","彼女は私の姉妹です。"
"quarantine","Quarantine","検疫"
"protective-mask","Protective mask","保護マスク"
"stay-home","Stay home","家にいる"
"toilet-paper","Toilet paper","トイレットペーパー"
"sprayer","Sprayer","噴霧器"
"disinfectant","Disinfectant","消毒剤"
"thermometer","Thermometer","温度計"
"coughing","Coughing","咳"
"medical-assistance","Medical assistance","医療扶助"
"hand-sanitizer","Hand sanitizer","手指消毒剤"
"gloves","Gloves","手袋"
"social-distancing","Social distancing","人混みを避ける"
"mouth-mask","Mouth mask","口マスク"
"pandemic","Pandemic","パンデミック"
"working-at-home","Working at home","在宅勤務"
"wet-wipes","Wet wipes","ウェットワイプ"
"first-aid-kit","First aid kit","応急処置キット"
"fitness","Fitness","フィットネス"
"e-learning","E-learning","Eラーニング"
"virus","Virus","ウイルス"
"cleaning","Cleaning","クリーニング"
"school","School","学校"
"desk","Desk","机"
"desk_2","Can I use this desk?","この机は使えますか？"
"desk_3","Which desk is mine?","私の机はどれですか。"
"desk_4","I spilled on my desk.","机の上にこぼした。"
"desk_5","Don't scratch your desk.","机を傷つけないでください。"
"chair","Chair","椅子"
"chair_2","Can I sit with you?","一緒に座ってもいいですか？"
"chair_3","Which chair is mine?","私の椅子はどれですか？"
"chair_4","Is this chair taken?","この椅子は取れますか？"
"chair_5","I spilled on my chair.","私は椅子にこぼした。"
"book","Book","本"
"book_2","Textbook","教科書"
"book_3","Workbook","ワークブック"
"book_4","Reading a book.","本を読んでいる。"
"book_5","Can I borrow your book?","あなたの本を借りてもいいですか？"
"book_6","Which page are we at?","どのページにいますか？"
"book_7","Flip the page.","ページをめくります。"
"book_8","I lost my book.","本をなくした。"
"notebook","Notebook","ノート"
"notebook_2","Taking notes.","メモを取る。"
"notebook_3","I'm taking notes.","メモを取っています。"
"notebook_4","I lost my notebook.","ノートブックを紛失しました。"
"backpack","Backpack","バックパック"
"backpack_2","Carrying my backpack.","私のバックパックを運ぶ。"
"backpack_3","Putting my books in my backpack.","本をバックパックに入れます。"
"backpack_4","I need a new backpack.","新しいバックパックが必要です。"
"backpack_5","Thank you for carrying my backpack.","バックパックを携帯していただきありがとうございます。"
"backpack_6","I lost my backpack.","バックパックを紛失しました。"
"backpack_7","My backpack is heavy.","私のバックパックは重いです。"
"blackboard","Blackboard","黒板"
"blackboard_2","Look at the blackboard.","黒板を見てください。"
"blackboard_3","Cleaning the blackboard.","黒板を掃除する。"
"blackboard_4","Solving the problem on the blackboard.","黒板で問題を解決します。"
"blackboard_5","Taking note on the blackboard.","黒板に注意してください。"
"blackboard_6","Give me a chalk.","チョークをください。"
"teacher_7","I don't like this topic.","このトピックは好きではありません。"
"teacher_8","Thank you for the lesson.","レッスンありがとうございます。"
"school-bus","School bus","スクールバス"
"school-bus_2","School bus is coming.","スクールバスが来ています。"
"school-bus_3","Can I sit next to you?","あなたの隣に座ってもいいですか？"
"school-bus_4","Thank you bus driver!","バスの運転手ありがとう！"
"school-bus_5","School bus was late.","スクールバスが遅れました。"
"pencil","Pencil","鉛筆"
"pencil_2","I'm writing.","私は書いています。"
"pencil_3","I'm learning to write.","私は書くことを学んでいます。"
"pencil_4","I need a new pencil.","新しい鉛筆が必要です。"
"pencil_5","Can I borrow your pencil?","鉛筆を借りてもいいですか？"
"pencil_6","I lost my pencil.","鉛筆をなくしました。"
"eraser","Eraser","消しゴム"
"eraser_2","I'm erasing.","消去しています。"
"eraser_3","I need a new eraser.","新しい消しゴムが必要です。"
"eraser_4","Can I borrow your eraser?","消しゴムを借りてもいいですか？"
"eraser_5","I lost my eraser.","消しゴムをなくしてしまいました。"
"ruler","Ruler","定規"
"ruler_2","I'm measuring.","私は測定しています。"
"ruler_3","I need a new ruler.","新しい定規が必要です。"
"ruler_4","Can I borrow your ruler?","定規を借りてもいいですか？"
"ruler_5","I lost my ruler.","定規を失った。"
"sharpener","Sharpener","削り器"
"sharpener_2","I'm sharpening my pencil.","鉛筆を削っています。"
"sharpener_3","I need a new sharpener.","新しい研ぎが必要です。"
"sharpener_4","Can I borrow your sharpener?","シャープナーを借りてもいいですか？"
"sharpener_5","I lost my sharpener.","研ぎ器をなくしました。"
"mathematics","Mathematics","数学"
"mathematics_2","I like mathematics.","私は数学が好きです。"
"mathematics_3","I want to study mathematics.","数学を勉強したいです。"
"mathematics_4","I don't like mathematics.","私は数学が好きではありません。"
"mathematics_5","When is mathematics class?","数学の授業はいつですか？"
"mathematics_6","Can you help me with my mathematics homework?","数学の宿題を手伝ってくれませんか？"
"literature","Literature","文献"
"literature_2","I like literature.","私は文学が好きです。"
"literature_3","I want to study literature.","文学を勉強したい。"
"literature_4","I don't like literature.","私は文学が好きではありません。"
"literature_5","When is literature class?","文学の授業はいつですか？"
"literature_6","Can you help me with my literature homework?","文学の宿題を手伝ってくれませんか。"
"science","Science","理科"
"science_2","I like science.","私は科学が好きです。"
"science_3","I want to study science.","科学を勉強したいです。"
"science_4","I don't like science.","私は科学が好きではありません。"
"science_5","When is science class?","サイエンスクラスはいつですか？"
"science_6","Can you help me with my science homework?","科学の宿題を手伝ってくれませんか？"
"art-class","Art class","アートクラス"
"art-class_2","I like art class.","私はアートクラスが好きです。"
"art-class_3","I want to practice art skills.","アートスキルを練習したいです。"
"art-class_4","I don't like art class.","アートの授業は好きではありません。"
"art-class_5","When is art class?","アートクラスはいつですか？"
"art-class_6","Can you help me with my art class homework?","アートクラスの宿題を手伝ってくれませんか。"
"music-class","Music class","音楽の授業"
"music-class_2","I like music class.","音楽教室が好きです。"
"music-class_3","I want to practice music skills.","音楽のスキルを練習したいです。"
"music-class_4","I don't like music class.","音楽の授業は好きではありません。"
"music-class_5","When is music class?","音楽教室はいつですか？"
"music-class_6","Can you help me with my music class homework?","音楽クラスの宿題を手伝ってくれませんか。"
"geography","Geography","地理"
"geography_2","I like geography.","私は地理が好きです。"
"geography_3","I want to study geography.","地理を勉強したい。"
"geography_4","I don't like geography.","私は地理が好きではありません。"
"geography_5","When is geography?","地理はいつですか？"
"geography_6","Can you help me with my geography homework?","地理の宿題を手伝ってくれませんか？"
"telescope","Telescope","望遠鏡"
"telescope_2","I'm using the telescope.","望遠鏡を使っています。"
"telescope_3","I want to use the telescope.","望遠鏡を使いたい。"
"telescope_4","I want to look at the stars.","星を見たい。"
"glue","Glue","接着剤"
"glue_2","I'm using glue.","接着剤を使っています。"
"glue_3","I need a new glue.","新しい接着剤が必要です。"
"glue_4","Can I borrow your glue?","あなたの接着剤を借りてもいいですか？"
"glue_5","I lost my glue.","接着剤をなくしました。"
"shapes","Shapes","形"
"circle","Circle","サークル"
"circle_2","This is circle shaped.","これは円形です。"
"circle_3","Can you teach me how to draw a circle?","円の描き方を教えてもらえますか？"
"triangle","Triangle","三角形"
"triangle_2","This is triangle shaped.","これは三角形です。"
"triangle_3","Can you teach me how to draw a triangle?","三角形の描き方を教えてもらえますか？"
"square","Square","平方"
"square_2","This is square shaped.","これは正方形の形です。"
"square_3","Can you teach me how to draw a square?","正方形の描き方を教えてもらえますか？"
"rectangle","Rectangle","矩形"
"rectangle_2","This is rectangle shaped.","これは長方形です。"
"rectangle_3","Can you teach me how to draw a rectangle?","長方形の描き方を教えてもらえますか？"
"star","Star","星"
"star_2","This is star shaped.","これは星型です。"
"star_3","Can you teach me how to draw a star?","星の描き方を教えてもらえますか？"
"pentagon","Pentagon","五角形"
"pentagon_2","This is pentagon shaped.","これは五角形です。"
"pentagon_3","Can you teach me how to draw a pentagon?","五角形の描き方を教えてもらえますか？"
"hexagon","Hexagon","六角形"
"hexagon_2","This is hexagon shaped.","六角形です。"
"hexagon_3","Can you teach me how to draw a hexagon?","六角形の描き方を教えてもらえますか？"
"cross","Cross","クロス"
"cross_2","This is cross shaped.","こちらは十字型です。"
"cross_3","Can you teach me how to draw a cross?","十字架の描き方を教えてもらえますか？"
"ellipse","Ellipse","楕円"
"ellipse_2","This is ellipse shaped.","これは楕円形です。"
"ellipse_3","Can you teach me how to draw a ellipse?","楕円の描き方を教えてもらえますか？"
"arrow","Arrow","矢"
"arrow_2","This is arrow shaped.","これは矢印の形です。"
"arrow_3","Can you teach me how to draw a arrow?","矢印の描き方を教えてもらえますか？"
"crescent","Crescent","三日月"
"crescent_2","This is crescent shaped.","これは三日月形です。"
"crescent_3","Can you teach me how to draw a crescent?","三日月の描き方を教えてもらえますか？"
"heart","Heart","心臓"
"heart_2","This is heart shaped.","これはハート型です。"
"heart_3","Can you teach me how to draw a heart?","ハートの描き方を教えてもらえますか？"
"rhombus","Rhombus","ひし形"
"rhombus_2","This is rhombus shaped.","これはひし形です。"
"rhombus_3","Can you teach me how to draw a rhombus?","菱形の描き方を教えてもらえますか？"
"ring","Ring","リング"
"ring_2","This is ring shaped.","リング型です。"
"ring_3","Can you teach me how to draw a ring?","指輪の描き方を教えてもらえますか？"
"semicircle","Semicircle","半円"
"semicircle_2","This is semicircle shaped.","これは半円形です。"
"semicircle_3","Can you teach me how to draw a semicircle?","半円の描き方を教えてもらえますか？"
"trapezoid","Trapezoid","台形"
"trapezoid_2","This is trapezoid shaped.","台形です。"
"trapezoid_3","Can you teach me how to draw a trapezoid?","台形の描き方を教えてもらえますか？"
"cube","Cube","キューブ"
"cube_2","This is cube shaped.","立方体です。"
"cube_3","Can you teach me how to draw a cube?","立方体の描き方を教えてもらえますか？"
"cylinder","Cylinder","シリンダー"
"cylinder_2","This is cylinder shaped.","これは円筒形です。"
"cylinder_3","Can you teach me how to draw a cylinder?","円筒の描き方を教えてもらえますか？"
